topic_id,topic_name,keywords,chunk_count,sample_chunks,your_decision,new_name,merge_with,notes
0,0_approach_feet_descent_altitude,"approach, feet, descent, altitude, captain, officer, localizer, airplane, runway, rate",434,"[AAB0101.pdf_chunk_0031]: [ANALYSIS] During this period, the flight engineer stated, “ooh nose  uh,” and the captain did not disengage the autopilot or take any action to adjust the pitch attitude. While flying inside of the middle marker during the most critical phase of the approach at  the decision height, the flight crew... ||| [AAB0101.pdf_chunk_0032]: [ANALYSIS] The Sperry Aerospace SP-150 autopilot installed on the accident airplane used a  time-based method to reduce the autopilot’s sensitivity to localizer and glideslope deviations as  the airplane approached the runway threshold on the ILS. However, the time-based method used  by the SP-150 a... ||| [AAB0203.pdf_chunk_0036]: [ANALYSIS] Thus, the flight crew was  not adequately prepared to perform ASE’s instrument and missed approach procedures. In addition, Avjet’s manual indicates that the captain was to brief the airplane’s  configuration and approach speed, final approach fix altitude, minimum descent altitude  (MDA)...",,,,
1,1_wind_weather_shear_information,"wind, weather, shear, information, wind shear, thunderstorm, radar, airport, winds, knots",264,"[AAR0101.pdf_chunk_0170]: [CONCLUSIONS] Appendix E 189 Aircraft Accident Report  zfem)}  Z Cer}  Z (hee)  Fig. 6 Vertical velocity patterns from a two-dimensional simulation of the § Jan 1989 event. The contour interval is 2m/s with solid representing updrafts and dashed representing downdrafts. The two updrafts marked with... ||| [AAR0101.pdf_chunk_0171]: [CONCLUSIONS] The disturbed part of the air flow is in the form of a system of quasi-stationary vortices rotating in opposite directions. Appendix F 191 Aircraft Accident Report • Winds need to be within 30 degrees of the direction normal to the mountain ridge. • The presence of a jet stream with it... ||| [AAR0101.pdf_chunk_0172]: [CONCLUSIONS] As the encounter progressed, we received a very sharp-edged blow which was followed by many more. As the first sharp-edged encounter started bleeding off, we developed an almost instantaneous rate of roll at fairly high rate. The roll was to the far left and the nose was swinging up an...",,,,
2,2_runway_taxiway_controller_taxi,"runway, taxiway, controller, taxi, controllers, swa, crew, traffic, airport, surface",177,"[AAR0002.pdf_chunk_0066]: [ANALYSIS] Analysis 61 Aircraft Accident Report FAA should require POIs assigned to Part 121 carriers that use auxiliary performance computers to review and ensure the adequacy of training and procedures regarding the use of this equipment and the interpretation of the data generated, including land... ||| [AAR0705.pdf_chunk_0069]: [ANALYSIS] This analysis discusses the taxi and attempted takeoff sequence and the associated  human factor issues, survival factors, efforts to mitigate surface navigation errors, ATC  staffing, and other issues related to the accident flight. Taxi and Attempted Takeoff Sequence 2.2  The pilots att... ||| [AAR0705.pdf_chunk_0070]: [ANALYSIS] Two two’s a short taxi.” Although the CVR did not record either  pilot explicitly referencing the airport chart, this statement is consistent with the first  officer examining the chart because no specific taxi instructions had been provided to  the flight crew. Also, the number of times...",,,,
3,3_collision_traffic_controller_cessna,"collision, traffic, controller, cessna, target, radar, aircraft, separation, controllers, pilot",166,"[AAR0902.pdf_chunk_0029]: [ANALYSIS] The pilot did not see the police helicopter, but the on-board photographer noticed that a  helicopter had passed close to their position. The pilot acknowledged that his workload could be  “a bit hectic” and that he had let the coverage of the story distract him from his altitude  awarene... ||| [AAR1005.pdf_chunk_0049]: [CONCLUSIONS > FINDINGS] 4.1  Findings  1. Both pilots were properly certificated and qualified in accordance with applicable federal  regulations.  2. Available evidence suggested that the airplane pilot was not likely affected by fatigue at the  time of the accident. The helicopter pilot had an op... ||| [AAR1005.pdf_chunk_0050]: [CONCLUSIONS > FINDINGS] The helicopter would not have been obscured from the airplane pilot’s view but would likely  have been difficult for him to detect until the final seconds before the collision because,  before that time, the helicopter would have appeared as a relatively small and stationary...",,,,
4,4_engine_propeller_power_engines,"engine, propeller, power, engines, turbine, takeoff, failure, right, right engine, blade",162,"[AAB0402.pdf_chunk_0045]: [ANALYSIS] Small nicks and tears characteristic of foreign-object damage43 were  found on the leading edges and tips of the axial compressor blades. Metallic deposits found  spattered on both gas generator and power turbine airfoils were confirmed as aluminum. Because the Turbomeca Arriel 1D1 engine... ||| [AAR-90-06.pdf_chunk_0066]: [ANALYSIS] The location of parts of the  No. 2 engine and empennage structure near Alta, Iowa, together with the  '  75  documentation and analysis of the No. 2 engine components and surrounding  structure, led the Safety Board to conclude that the No. 2 engine stage 1 fan  disk fracture and separat... ||| [AAR0101.pdf_chunk_0118]: [ANALYSIS] Witnesses also reported observing a “mist” trailing the airplane's right wing. Both the sounds and the mist could Analysis 117 Aircraft Accident Report have been associated with engine surges (compressor stalls) that could have accompanied an attempted relight and acceleration of engines...",,,,
5,5_probable_probable cause_cause_national,"probable, probable cause, cause, national, transportation safety, transportation, national transportation, board, safety, accident",159,"[AAB0101.pdf_chunk_0033]: [ANALYSIS] As a result, the south local controller cleared two air carrier flights to land  on the debris-strewn runway after the accident. One of the airplanes landed uneventfully, and the  other performed a touch-and-go, as directed by the south local controller after the driver of an  airport gro... ||| [AAB0201.pdf_chunk_0058]: [ANALYSIS] P&W’s Submission In an October 6, 2000, letter, P&W stated that it believed that “the facts, as gathered to date, sufficiently represent Pratt & Whitney’s perspective on this crash. Therefore, Pratt & Whitney will not be providing a further submission to be considered during the developme... ||| [AAB0202.pdf_chunk_0034]: [PROBABLE CAUSE] Further, although the controller did not give the pilot the information about his southeasterly heading or try to determine why the pilot made the turn and given that the pilot responded to the controller’s instructions, the Board determined that this omission did not cause or exace...",,,,
6,6_evacuation_emergency_passengers_attendants,"evacuation, emergency, passengers, attendants, flight attendants, cabin, exit, attendant, flight attendant, arff",148,"[AAB0401.pdf_chunk_0039]: [PROBABLE CAUSE] The Safety  Board concluded that if the passengers and crew had not been able to evacuate, there would not have been enough  ARFF personnel to enter the airplane and rescue occupants. The description for this accident, DCA00MA079, can  be found on the Safety Board’s Web site at <htt... ||| [AAR0001.pdf_chunk_0179]: [ANALYSIS] The Safety Board is concerned about the delay in the implementation of Safety Recommendation A-95-120.217 In addition, the Safety Board is especially concerned that the FAA, until it received queries from the Board, was apparently not aware of, or not addressing, procedural barriers that... ||| [AAR0001.pdf_chunk_0180]: [ANALYSIS] However, the Navy had not yet received a request for specific Federal firefighting and medical resources; therefore, it would have been inappropriate for the Chief of Staff to have dispatched these resources. 217 The Safety Board is also disappointed that the aural MSAW alert could not be...",,,,
7,7_hours_certificate_held_medical certificate,"hours, certificate, held, medical certificate, employed, total, land, hearing, ratings, medical",126,"[AAB0704.pdf_chunk_0013]: [PROBABLE CAUSE] However, after the controller received no radio response from the pilot, he should have made further attempts  to contact the flight by radio and should have noticed that radar data for the flight ceased. NTSB/AAB-07/04  13  BY THE NATIONAL TRANSPORTATION SAFETY BOARD  MARK V. ROSEN... ||| [AAR6904.pdf_chunk_0036]: [(a) FINDINGS] I First Officer John A. Mazur, aged 30, was employed by North Centrel Airlines on April 1968. He held commercial pilot certificate No. 1555450, with airplane multi/single engine land and instrument ratings. His last second-class medical certificate was dated December 5, 1967, and was... ||| [AAR6904.pdf_chunk_0037]: [(a) FINDINGS] The total time on the airframe was 25,219 hours, of which 3,238 hours were logged subsequent to the conversion. Time since the last maintenance check was 6h hours. The aireraft was equipped with Allison engines and Aeroproducts propellers, whose histories were as follows:  Position In...",,,,
8,8_controller_pilot_clearance_radar,"controller, pilot, clearance, radar, terrain, flight, radial, course, vfr, heading",111,"[AAB0202.pdf_chunk_0031]: [ANALYSIS] For more information, see the January 9, 2002, addendum to the Systems Group Chairman’s Factual Report.  31 NTSB/AAB-02/02 Air Traffic Controller Actions The procedures in FAA Order 7110.65, “Air Traffic Control,” Paragraph 10-2-9, “Radar Assistance Techniques,” do not directly apply to s... ||| [AAB0202.pdf_chunk_0032]: [ANALYSIS] This action and the controller’s postaccident statement that he was surprised when the pilot asked to be diverted the second time (at 1923:46) because he thought the pilot wanted assistance to continue to EIW indicates that the controller did not understand or hear the pilot’s first reque... ||| [AAB0202.pdf_chunk_0033]: [ANALYSIS] At 1928:36, the controller asked the pilot, “you have any more attitude problems,” and the pilot responded, “the attitude problems are continuing.” ATC radar show that the airplane entered a left turn to the southeast as the pilot was making this statement. At 1929:31, the pilot requested...",,,,
9,9_stall_stick_shaker_stick shaker,"stall, stick, shaker, stick shaker, recovery, pitch, aoa, airplane, abx, airspeed",100,"[AAB0401.pdf_chunk_0033]: [ANALYSIS] The airplane was operating in accordance with a Canadian flight permit and a special use  authorization issued by the FAA and was properly equipped to conduct flight tests. Examination of  the flight controls, the modified PFS units, and the airplane’s engines and systems found no  eviden... ||| [AAB0401.pdf_chunk_0034]: [ANALYSIS] Moreover, the aft c.g. and the aggressive pitch control inputs by the pilot eliminated the safety  margin that the c.g. limit and the lower pitch rate guidance of 3° per second were intended to  provide. Safety Board staff and Bombardier simulation studies indicated that either restoring... ||| [AAB0401.pdf_chunk_0036]: [ANALYSIS] The preflight briefing also did not include a discussion about test maneuver  techniques or about what procedures to follow in the event of a problem or failure in the  modified systems to be tested. Pitch rate targets were also not discussed in the context of an aft  c.g. test flight. Al...",,,,
