report_id,title,accident_date,location,parent_code,parent_name,subcategory_code,subcategory_name,score,pct_of_parent,combined_confidence,n_chunks,rank,your_decision,notes
AAB0001.pdf,"Crash of Sunjet Aviation, Learjet Model 35, N47BA",1999-10-24,"Aberdeen, SD",LOC-I,Loss of Control - Inflight,HF-VIOLATION,Violation,0.46112931062387247,34.9,0.3030721983722667,1,1,,
AAB0001.pdf,"Crash of Sunjet Aviation, Learjet Model 35, N47BA",1999-10-24,"Aberdeen, SD",LOC-I,Loss of Control - Inflight,LOC-I-STALL,Aerodynamic Stall,0.4068466369189457,30.8,0.26136591894302524,1,3,,
AAB0001.pdf,"Crash of Sunjet Aviation, Learjet Model 35, N47BA",1999-10-24,"Aberdeen, SD",LOC-I,Loss of Control - Inflight,LOC-I-UPSET,Aircraft Upset,0.4515399830442634,34.2,0.29570455878716256,1,2,,
AAB0102.pdf,Collision with Terrain of Big Island Air flight 58,1999-10-24,"Volcano, HI",CFIT,Controlled Flight Into Terrain,CFIT-NAV,Navigation Error,0.39739623235938987,32.8,0.232160077867172,1,2,,
AAB0102.pdf,Collision with Terrain of Big Island Air flight 58,1999-10-24,"Volcano, HI",CFIT,Controlled Flight Into Terrain,CFIT-SA,Situational Awareness,0.38502031503622297,31.7,0.22347263583759078,1,3,,
AAB0102.pdf,Collision with Terrain of Big Island Air flight 58,1999-10-24,"Volcano, HI",CFIT,Controlled Flight Into Terrain,HF-PERCEPTUAL,Perceptual Error,0.43035290419376465,35.5,0.2552944580163599,1,1,,
AAB0201.pdf,"EgyptAir Flight 990 Boeing 767-366ER, SU-GAP",1999-10-30,"Nantucket, MA",LOC-I,Loss of Control - Inflight,LOC-I-STALL,Aerodynamic Stall,0.4505409422996891,29.1,0.2299882441224779,2,3,,
AAB0201.pdf,"EgyptAir Flight 990 Boeing 767-366ER, SU-GAP",1999-10-30,"Nantucket, MA",LOC-I,Loss of Control - Inflight,LOC-I-SYS,System-Induced LOC,0.5397794189452825,34.8,0.22446802297946858,3,2,,
AAB0201.pdf,"EgyptAir Flight 990 Boeing 767-366ER, SU-GAP",1999-10-30,"Nantucket, MA",LOC-I,Loss of Control - Inflight,LOC-I-UPSET,Aircraft Upset,0.5599550472194701,36.1,0.25576413588016284,5,1,,
AAB0201.pdf,"EgyptAir Flight 990 Boeing 767-366ER, SU-GAP",1999-10-30,"Nantucket, MA",SCF-NP,System/Component Failure - Non-Powerplant,SCF-NP-FLT,Flight Control System,0.42056741814985654,100.0,0.2169958938806278,1,1,,
